event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2020-09-02,jose johnson,ronnie lawrence,1,1,1,2020-09-01,2020-09-01
2020-09-02,cody brundage,william knight,1,1,1,2020-09-01,2020-09-01
2020-09-02,chase gibson,tucker lutz,1,1,1,2020-09-01,2020-09-01
2020-09-02,dennis buzukja,melsik baghdasaryan,1,1,1,2020-09-01,2020-09-01
2020-09-09,phil hawes,khadzhi bestaev,1,0,0,2020-01-19,
2020-09-09,henrique shiguemoto,aliaskhab khizriev,1,1,1,2015-09-12,2018-03-30
2020-09-09,al matavao,tafon nchukwi,1,0,0,2016-10-19,
2020-09-09,drako rodriguez,mana martinez,1,0,0,2020-09-08,
2020-09-09,sherrard blackledge,cameron church,0,1,0,,2019-11-07
2020-09-16,michael lombardo,korey kuppe,1,1,1,2020-09-15,2020-09-15
2020-09-16,dinis paiva,kyle driscoll,1,1,1,2018-06-15,2018-06-08
2020-09-16,jordan williams,gregory rodrigues,1,1,1,2019-07-23,2017-10-21
2020-09-16,danyelle wolf,taneisha tennant,0,1,0,,2020-03-06
2020-09-16,collin anglin,muhammad naimov,1,0,0,2019-06-28,
2020-11-05,luis saldana,vince murdock,1,1,1,2020-11-04,2020-11-04
2020-11-05,edson gomez,ignacio bahamondes,1,1,1,2020-11-04,2020-11-04
2020-11-05,harry hunsucker,jared vanderaa,1,1,1,2020-11-04,2020-11-04
2020-11-05,carlos ulberg,bruno oliveira,1,1,1,2020-11-04,2020-11-04
2020-11-11,luana pinheiro,stephanie frausto,1,1,1,2020-11-10,2020-11-10
2020-11-11,nikolas motta,joe lowry,1,0,0,2020-11-10,
2020-11-11,danny sabatello,taylor moore,1,1,1,2020-11-10,2020-11-10
2020-11-11,mariusz ksiazkiewicz,mario sousa,1,1,1,2020-11-10,2020-11-10
2020-11-11,shaheen santana,natan levy,1,1,1,2020-11-10,2020-11-10
2020-11-18,nick maximov,oscar cota,0,1,0,,2018-11-24
2020-11-18,jacob silva,jp buys,1,0,0,2020-11-17,
2020-11-18,chelsea hackett,victoria leonardo,0,1,0,,2019-03-22
2020-11-18,pauline macias,gloria de paula,1,1,1,2020-11-17,2020-11-17
2020-11-18,sherrard blackledge,tucker lutz,0,1,0,,2020-09-01
2021-09-01,matheus scheffel,azamat murzakanov,1,1,1,2021-08-31,2021-08-31
2021-09-01,carlos candelario,victor altamirano,1,1,1,2021-08-31,2021-08-31
2021-09-01,aj fletcher,leonardo damiani,0,1,0,,2020-12-11
2021-09-01,diego lopes,joanderson brito,1,1,1,2021-08-31,2021-08-31
2021-09-08,mario sousa,chidi njokuani,1,1,1,2021-09-07,2021-09-07
