event_date,event_id,bout_key,fighter_a_id,fighter_b_id,fighter_a,fighter_b,winner_a,winner_name,method,finish_round,duration_minutes,age_diff,height_diff,reach_diff,height_missing_diff,reach_missing_diff,southpaw_diff,switch_diff,striker_style_diff,grappler_style_diff,prior_dwcs_bouts_diff,prior_dwcs_wins_diff,prior_dwcs_win_pct_diff,prior_dwcs_finish_pct_diff,prior_dwcs_ko_win_pct_diff,prior_dwcs_sub_win_pct_diff,prior_dwcs_dec_win_pct_diff,prior_dwcs_avg_duration_diff,prior_dwcs_over25_rate_diff,prior_dwcs_stats_available_diff,prior_dwcs_sig_landed_pm_diff,prior_dwcs_sig_attempted_pm_diff,prior_dwcs_sig_accuracy_diff,prior_dwcs_td_landed_per15_diff,prior_dwcs_td_attempted_per15_diff,prior_dwcs_td_accuracy_diff,prior_dwcs_kd_per15_diff,prior_dwcs_sub_attempts_per15_diff
2024-08-20,600047773,600047773|4245470|4775129,4245470,4775129,michael imperato,cortavious romious,0,cortavious romious,DEC-UNA,3,15.0,4.347796327097754,7.6200000000000045,-3.8100000000000023,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.0,-1.0,-14.583333333333334,-45.833333333333336,-0.3181818181818182,0.0,0.0,0.0,0.0,0.0
2024-08-20,600047773,600047773|4738749|5212851,4738749,5212851,andreas gustafsson,pat pytlik,1,andreas gustafsson,KO-TKO,2,8.33,-1.8261839736613368,0.0,1.2700000000000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,600047773,600047773|5001014|5144174,5001014,5144174,cody haddon,billy brand,1,cody haddon,SUBMISSION,1,3.15,-2.1821118845698386,2.5400000000000205,8.889999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,600047774,600047774|4421157|5212854,5212854,4421157,malcolm wellmaker,adam bramhald,1,malcolm wellmaker,KO-TKO,1,2.48,-0.19712930450317145,0.0,2.539999999999992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,600047774,600047774|4705665|5211225,5211225,4705665,andrey pulyaev,liam anderson,1,andrey pulyaev,DEC-UNA,3,15.0,-2.6585077037858404,5.079999999999984,7.6200000000000045,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,600047774,600047774|5013686|5138111,5013686,5138111,matthieu duclos,marco tulio,0,marco tulio,KO-TKO,2,7.63,-0.8076825670616117,7.6200000000000045,6.350000000000023,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-15.0,-1.0,-1.0,-3.2,-6.533333333333333,-0.4897959183673469,-2.0,-8.0,-0.25,0.0,-1.0
2024-08-28,600047774,600047774|5144006|5212738,5212738,5144006,michael aswell jr.,bogdan grad,0,bogdan grad,DEC-SPLT,3,15.0,-4.999418194761013,0.0,-2.5400000000000205,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,0.0,-1.0,-9.420289855072465,-17.39130434782609,-0.5416666666666666,0.0,0.0,0.0,-21.739130434782613,0.0
2024-08-28,600047774,600047774|5195917|5211224,5195917,5211224,nick piccininni,jack duffy,1,nick piccininni,DEC-SPLT,3,15.0,-1.2074169900819314,-2.5400000000000205,-7.6200000000000045,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,600047775,600047775|4701954|5214599,5214599,4701954,igor cavalcanti,seokhyeon ko,0,seokhyeon ko,DEC-UNA,3,15.0,-4.0438886493220245,2.539999999999992,21.590000000000003,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,600047775,600047775|4848673|5211247,4848673,5211247,will currie,djorden santos,0,djorden santos,DEC-UNA,3,15.0,-1.2813404792706216,7.6200000000000045,1.2699999999999818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
