uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:401223626~c:401256300,401223626-4689226-4878592,401223626,2020-11-18,Dana White's Contender Series,DWC,4374740,victoria leonardo,W,4689226,chelsea hackett,False,2,KO-TKO,9.68,False
s:3301~l:3321~e:600047773~c:401690352,600047773-5200305-4738749,600047773,2024-08-20,Dana White's Contender Series,DWC,5212851,pat pytlik,L,4738749,andreas gustafsson,False,2,KO-TKO,8.33,False
s:3301~l:3321~e:600047773~c:401693508,600047773-4319785-4001837,600047773,2024-08-20,Dana White's Contender Series,DWC,4863329,hugo cunha,L,4001837,rizvan kuniev,False,1,KO-TKO,4.98,False
s:3301~l:3321~e:600047773~c:401693509,600047773-4775129-3104720,600047773,2024-08-20,Dana White's Contender Series,DWC,4245470,michael imperato,L,4775129,cortavious romious,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047779~c:401718428,600047779-5130607-4878592,600047779,2024-10-02,Dana White's Contender Series,DWC,4050996,torrez finney,W,5130607,abdellah er-ramy,False,1,KO-TKO,4.17,False
s:3301~l:3321~e:600047773~c:401693510,600047773-4694832-4878592,600047773,2024-08-20,Dana White's Contender Series,DWC,4050996,torrez finney,W,4694832,cam rowston,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600036500~c:401604871,600036500-5147207-4878592,600036500,2023-10-11,Dana White's Contender Series,DWC,4050996,torrez finney,W,5147207,yuri panferov,False,2,SUBMISSION,7.720000000000001,False
s:3301~l:3321~e:401128924~c:269716,401128924-3121961-4969973,401128924,2019-08-07,Dana White's Contender Series,DWC,3089633,herbert burns,W,3121961,darrick minner,False,1,SUBMISSION,2.48,False
s:3301~l:3321~e:600047624~c:401686958,600047624-5211221-3948876,600047624,2024-08-13,Dana White's Contender Series,DWC,5057023,wes schultz,L,5211221,mansur abdul-malik,False,2,KO-TKO,8.92,False
s:3301~l:3321~e:600047624~c:401703013,600047624-4813565-3922557,600047624,2024-08-13,Dana White's Contender Series,DWC,4295666,rami hamed,W,4813565,ding meng,False,3,DEC-UNA,15.0,True
