uid,fighter_id,SDBL,SDBA,SDB_ACC,SDHL,SDHA,SDH_ACC,SDLL,SDLA,SDL_ACC,TSL,TSA,TS_ACC,SSL,SSA,SS_ACC,KD,SCBL,SCBA,SCB_ACC,SCHL,SCHA,SCH_ACC,SCLL,SCLA,SCL_ACC,RV,SR,TDA,TDL,TDS,TD_ACC,SGBL,SGBA,SGB_ACC,SGHL,SGHA,SGH_ACC,SGLL,SGLA,SGL_ACC,AD,ADTB,ADHG,ADTM,ADTS,SM,TSLL,TSLA,SL_ACC,TSBL,TSBA,SB_ACC,TSHL,TSHA,SH_ACC
s:3301~l:3321~e:600047781~c:401721187,5218668,1,1,1.0,0,1,0.0,0,0,0.0,6,7,0.86,5,6,0.83,0,4,4,1.0,0,0,0.0,0,0,0.0,0,0.000,2,1,0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0.0,5,5,1.0,0,1,0.0
s:3301~l:3321~e:600047780~c:401690359,5217455,0,0,0.0,1,11,0.09,0,0,0.0,6,20,0.3,3,15,0.2,0,0,0,0.0,0,2,0.0,0,0,0.0,0,0.000,5,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3,15,0.2
s:3301~l:3321~e:600047780~c:401724477,5218818,2,4,0.5,1,10,0.1,4,4,1.0,7,18,0.39,7,18,0.39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,4,1.0,2,4,0.5,1,10,0.1
s:3301~l:3321~e:600047780~c:401724481,5001017,20,30,0.67,38,73,0.52,0,0,0.0,86,140,0.61,76,127,0.6,0,3,3,1.0,7,9,0.78,0,0,0.0,0,0.000,9,4,0,0.44,1,1,1.0,7,11,0.64,0,0,0.0,0,0,0,0,0,0,0,0,0.0,24,34,0.71,52,93,0.56
s:3301~l:3321~e:600047779~c:401690358,4571450,10,12,0.83,28,45,0.62,0,0,0.0,38,58,0.66,38,57,0.67,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,5,0,0,0.0,10,12,0.83,28,45,0.62
s:3301~l:3321~e:600047778~c:401717098,5216849,1,1,1.0,3,16,0.19,2,2,1.0,16,30,0.53,7,20,0.35,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,2,2,2,1.0,1,1,1.0,4,17,0.24
s:3301~l:3321~e:600047776~c:401703288,5224461,7,11,0.64,9,51,0.18,3,3,1.0,30,81,0.37,25,75,0.33,0,2,2,1.0,4,8,0.5,0,0,0.0,0,0.000,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,3,1.0,9,13,0.69,13,59,0.22
s:3301~l:3321~e:600047776~c:401703290,4690484,0,0,0.0,4,11,0.36,0,0,0.0,25,32,0.78,15,22,0.68,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,1,0,1.0,0,0,0.0,11,11,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,15,22,0.68
s:3301~l:3321~e:600047775~c:401699791,4848673,10,13,0.77,11,47,0.23,5,5,1.0,81,137,0.59,41,86,0.48,0,13,16,0.81,2,5,0.4,0,0,0.0,0,0.000,15,2,0,0.13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5,5,1.0,23,29,0.79,13,52,0.25
s:3301~l:3321~e:600047774~c:401708027,5211224,14,16,0.88,33,61,0.54,18,21,0.86,125,166,0.75,76,110,0.69,0,7,7,1.0,4,5,0.8,0,0,0.0,1,0.000,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,18,21,0.86,21,23,0.91,37,66,0.56
s:3301~l:3321~e:600047773~c:401693511,5144174,0,1,0.0,6,26,0.23,2,3,0.67,14,40,0.35,9,35,0.26,0,0,1,0.0,1,4,0.25,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,3,0.67,0,2,0.0,7,30,0.23
s:3301~l:3321~e:600047624~c:401703013,4813565,17,27,0.63,12,44,0.27,16,25,0.64,74,125,0.59,51,102,0.5,0,5,5,1.0,0,0,0.0,0,0,0.0,0,0.000,2,1,0,0.5,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,16,25,0.64,22,32,0.69,13,45,0.29
s:3301~l:3321~e:600047624~c:401686960,5149722,2,2,1.0,13,64,0.2,4,4,1.0,26,80,0.32,21,75,0.28,1,0,0,0.0,2,5,0.4,0,0,0.0,0,0.000,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4,4,1.0,2,2,1.0,15,69,0.22
s:3301~l:3321~e:600036498~c:401597250,4893608,48,84,0.57,112,339,0.33,3,4,0.75,204,502,0.41,197,491,0.4,0,11,18,0.61,23,46,0.5,0,0,0.0,0,0.000,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,4,0.75,59,102,0.58,135,385,0.35
s:3301~l:3321~e:401222785~c:401241749,4045420,1,1,1.0,2,3,0.67,1,1,1.0,5,6,0.83,5,6,0.83,0,0,0,0.0,0,0,0.0,1,1,1.0,0,0.000,2,1,0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0,1,1,2,2,1.0,1,1,1.0,2,3,0.67
s:3301~l:3321~e:600036500~c:401604870,5147579,11,21,0.52,8,47,0.17,6,8,0.75,35,89,0.39,25,78,0.32,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0.000,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,8,0.75,11,23,0.48,8,47,0.17
s:3301~l:3321~e:600036500~c:401606729,5149442,2,3,0.67,4,8,0.5,1,2,0.5,32,47,0.68,22,33,0.67,0,5,5,1.0,0,1,0.0,7,7,1.0,1,0.000,15,5,0,0.33,0,0,0.0,3,5,0.6,0,2,0.0,0,0,0,0,0,0,8,11,0.73,7,8,0.88,7,14,0.5
s:3301~l:3321~e:600036498~c:401597249,5119702,1,2,0.5,3,7,0.43,0,1,0.0,17,28,0.61,12,20,0.6,0,5,6,0.83,2,3,0.67,0,0,0.0,0,0.000,2,1,0,0.5,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,6,8,0.75,6,11,0.55
s:3301~l:3321~e:600036495~c:401592854,5068827,1,7,0.14,2,6,0.33,5,7,0.71,17,29,0.59,11,23,0.48,0,2,2,1.0,1,1,1.0,0,0,0.0,0,0.000,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,5,7,0.71,3,9,0.33,3,7,0.43
s:3301~l:3321~e:600036493~c:401571756,5143224,0,0,0.0,4,5,0.8,6,7,0.86,13,18,0.72,11,16,0.69,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,1,1,0,1.0,0,0,0.0,1,4,0.25,0,0,0.0,0,0,0,0,0,0,6,7,0.86,0,0,0.0,5,9,0.56
s:3301~l:3321~e:600036493~c:401577735,5056138,4,6,0.67,19,79,0.24,8,9,0.89,54,122,0.44,42,110,0.38,0,1,1,1.0,7,12,0.58,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,3,3,1.0,0,0,0.0,0,0,0,0,0,2,8,9,0.89,5,7,0.71,29,94,0.31
s:3301~l:3321~e:600036493~c:401577736,4403762,5,5,1.0,13,64,0.2,9,14,0.64,81,145,0.56,47,108,0.44,0,20,23,0.87,0,2,0.0,0,0,0.0,0,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,9,14,0.64,25,28,0.89,13,66,0.2
s:3301~l:3321~e:600036332~c:401567320,5075334,1,2,0.5,16,58,0.28,0,0,0.0,18,62,0.29,17,60,0.28,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.000,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,2,0.5,16,58,0.28
s:3301~l:3321~e:401221631~c:401233640,4683396,14,16,0.88,44,108,0.41,4,5,0.8,103,186,0.55,92,165,0.56,0,7,9,0.78,15,19,0.79,3,3,1.0,0,0.000,2,0,0,0.0,1,1,1.0,3,3,1.0,1,1,1.0,5,3,2,0,0,0,8,9,0.89,22,26,0.85,62,130,0.48
s:3301~l:3321~e:600022212~c:401483884,5088846,1,3,0.33,7,40,0.18,1,3,0.33,55,114,0.48,17,59,0.29,0,5,7,0.71,1,4,0.25,1,1,1.0,1,0.000,2,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,2,4,0.5,6,10,0.6,9,45,0.2
s:3301~l:3321~e:600022209~c:401467663,4701186,0,0,0.0,0,10,0.0,1,2,0.5,5,16,0.31,1,12,0.08,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.000,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0.5,0,0,0.0,0,10,0.0
